,track_id,track_name,track_album_name,playlist_name
0,6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,I Don't Care (with Justin Bieber) [Loud Luxury Remix],Pop Remix
1,0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Memories (Dillon Francis Remix),Pop Remix
2,1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,All the Time (Don Diablo Remix),Pop Remix
3,75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,Call You Mine - The Remixes,Pop Remix
4,1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Someone You Loved (Future Humans Remix),Pop Remix
5,7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Beautiful People (feat. Khalid) [Jack Wins Remix],Pop Remix
6,2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Never Really Over (R3HAB Remix),Pop Remix
7,6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Post Malone (feat. RANI) [GATTÜSO Remix],Pop Remix
8,7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Tough Love (Tiësto Remix),Pop Remix
9,1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,If I Can't Have You (Gryffin Remix),Pop Remix
10,3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],Pop Remix
11,3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Hate Me (R3HAB Remix),Pop Remix
12,6e0CvGZf7CouOpYF8toXHC,Body On My,Body On My,Pop Remix
13,3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,SOS (Laidback Luke Tribute Remix),Pop Remix
14,55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],Pop Remix
15,1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],Pop Remix
16,5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,All My Friends (Eden Prince Remix),Pop Remix
17,3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],Pop Remix
